"","p_val","avg_diff","pct.1","pct.2","p_val_adj","cluster","gene"
"GLRX",8.13703360375411e-62,0.544578861995288,0.76,0.449,1.62740672075082e-58,"0","GLRX"
"GCLM",1.06390987072653e-59,0.54197473908712,0.792,0.513,2.12781974145306e-56,"0","GCLM"
"CALM2",6.26748341172526e-58,0.573241579390421,0.741,0.429,1.25349668234505e-54,"0","CALM2"
"SBF2-AS1",5.35149322771633e-53,0.514523155813313,0.81,0.557,1.07029864554327e-49,"0","SBF2-AS1"
"NNMT",6.71444456326231e-53,0.513621605653503,0.762,0.464,1.34288891265246e-49,"0","NNMT"
"NQO1",7.7849377151996e-51,0.516807531680325,0.752,0.449,1.55698754303992e-47,"0","NQO1"
"TIMP2",1.80002929231683e-50,-0.432242906404539,0.36,0.62,3.60005858463365e-47,"0","TIMP2"
"TNFRSF12A",2.06784395192743e-49,0.492660722654784,0.79,0.537,4.13568790385487e-46,"0","TNFRSF12A"
"STC2",3.48250761244299e-48,0.5056353176587,0.784,0.565,6.96501522488598e-45,"0","STC2"
"PRDX1",1.02679284146891e-46,0.500551782314871,0.724,0.422,2.05358568293781e-43,"0","PRDX1"
"TXNRD1",2.15891616389864e-44,0.486585287052906,0.734,0.477,4.31783232779727e-41,"0","TXNRD1"
"CYB5A",2.45509355889012e-44,0.418966165527429,0.737,0.503,4.91018711778024e-41,"0","CYB5A"
"NEAT1",1.10355470333782e-43,-0.302910162857012,0.377,0.621,2.20710940667565e-40,"0","NEAT1"
"PFN1",3.03224780397573e-42,0.50903074453659,0.714,0.466,6.06449560795146e-39,"0","PFN1"
"TPM1",9.31879627589175e-41,0.476887078141578,0.685,0.438,1.86375925517835e-37,"0","TPM1"
"TNFRSF11B",1.07244827817121e-40,0.472349389507213,0.79,0.538,2.14489655634241e-37,"0","TNFRSF11B"
"CFL1",4.50310988596596e-40,0.472833671223601,0.726,0.458,9.00621977193191e-37,"0","CFL1"
"IGFBP3",8.66375980886353e-40,0.46872970490431,0.797,0.571,1.73275196177271e-36,"0","IGFBP3"
"S100A11",1.55574629732635e-39,0.444043420220729,0.736,0.457,3.1114925946527e-36,"0","S100A11"
"COTL1",4.43950851614356e-39,0.384623254183669,0.76,0.516,8.87901703228712e-36,"0","COTL1"
"PTGR1",2.30538417033173e-37,0.446101832165401,0.741,0.497,4.61076834066345e-34,"0","PTGR1"
"ANXA2",4.43548807746921e-37,0.383295261402627,0.682,0.394,8.87097615493842e-34,"0","ANXA2"
"KRT18",6.83516530423493e-35,0.451536478299805,0.78,0.573,1.36703306084699e-31,"0","KRT18"
